iteration,choice,cr1,cr2,cr3,cr4,cr5,b1.1,b1.2,b2.1,b2.2,b3.1,b3.2,b4.1,b4.2,b5.1,b5.2,pd1,pd2,pd3,pd4,pd5,n1,n2,n3,n4,n5
60,5,0,0,2,7,13,1,5,1,5,3,6,8,12,14,15,0.45519178414252315,0.006365504161429896,0.2536485313799903,0.39138361365357016,0.5000086859830433,4,4,7,18,27
61,5,0,0,2,7,13,1,5,1,5,3,6,8,12,14,16,0.16207426665936028,0.34990647182682144,0.2671279612227248,0.6642422190716352,0.3275726858588005,4,4,7,18,28
62,4,0,0,2,7,13,1,5,1,5,3,6,8,13,14,16,0.35325582934072036,0.07216283459029448,0.39343197014730263,0.29676622075738457,0.40165517130854445,4,4,7,19,28
63,5,0,0,2,7,14,1,5,1,5,3,6,8,13,15,16,0.025626571779841692,0.1296653621505696,0.40441080913711325,0.5421484586248916,0.541470099968915,4,4,7,19,29
64,4,0,0,2,8,14,1,5,1,5,3,6,9,13,15,16,0.08072902740006616,0.07890302864215795,0.27380869495865706,0.383195387226298,0.36729500564159867,4,4,7,20,29
65,4,0,0,2,8,14,1,5,1,5,3,6,9,14,15,16,0.020887874521422538,0.1498491676200139,0.6762096885385774,0.3914245069260754,0.37749801290675583,4,4,7,21,29
66,3,0,0,2,8,14,1,5,1,5,3,7,9,14,15,16,0.4128380868644767,0.004259205422910912,0.10347559475150346,0.3502304754460079,0.44288441974505977,4,4,8,21,29
67,5,0,0,2,8,14,1,5,1,5,3,7,9,14,15,17,0.24897901725928379,0.47314066286785644,0.11649020652295933,0.4649462816928266,0.41328138964539507,4,4,8,21,30
68,2,0,0,2,8,14,1,5,1,6,3,7,9,14,15,17,0.054290154957403636,0.02511620865296408,0.4601928975123073,0.4468655564383075,0.5722758789173648,4,5,8,21,30
69,5,0,0,2,8,15,1,5,1,6,3,7,9,14,16,17,0.036045812803023665,0.429563155457328,0.3240677184517944,0.31968747177402856,0.6223391257600994,4,5,8,21,31
70,5,0,0,2,8,15,1,5,1,6,3,7,9,14,16,18,0.1777123096014367,0.02332701422163985,0.16769296855812935,0.4255905545646981,0.34670237527759906,4,5,8,21,32
71,4,0,0,2,8,15,1,5,1,6,3,7,9,15,16,18,0.028141407116006826,0.020714724156613747,0.17762379364939954,0.2746191011623137,0.5609593856505802,4,5,8,22,32
72,5,0,0,2,8,16,1,5,1,6,3,7,9,15,17,18,0.0024640847828038006,0.17248884293213654,0.15513030584149745,0.2671382656186885,0.4967674042857703,4,5,8,22,33
73,5,0,0,2,8,16,1,5,1,6,3,7,9,15,17,19,0.12412921668559246,0.050333690207579156,0.2190286127402855,0.4592519872277655,0.5588552241932113,4,5,8,22,34
74,5,0,0,2,8,16,1,5,1,6,3,7,9,15,17,20,0.10195627156229684,0.3270485944225286,0.41124030553743374,0.1739632065413773,0.5217863843827519,4,5,8,22,35
75,5,0,0,2,8,16,1,5,1,6,3,7,9,15,17,21,0.14929198887811437,0.43538942959804827,0.050967600892738614,0.4344270956630929,0.49084641291675896,4,5,8,22,36
76,5,0,0,2,8,16,1,5,1,6,3,7,9,15,17,22,0.37166073385619397,0.17627116081995153,0.2257704364778054,0.4902420895422526,0.5281469742623633,4,5,8,22,37
77,5,0,0,2,8,17,1,5,1,6,3,7,9,15,18,22,0.7159283565474609,0.21317134963670528,0.5496070656781841,0.26970334588547346,0.36261619928595773,4,5,8,22,38
78,1,0,0,2,8,17,1,6,1,6,3,7,9,15,18,22,0.35456280384533306,0.2054462276428985,0.28258126670829,0.44368904218383043,0.30704374718872335,5,5,8,22,38
79,4,0,0,2,8,17,1,6,1,6,3,7,9,16,18,22,0.02922069874155525,0.4244470906386333,0.2122949454563486,0.4084884149743935,0.3405780970211276,5,5,8,23,38
80,2,0,0,2,8,17,1,6,1,7,3,7,9,16,18,22,0.01672730583907172,0.06848977389397021,0.3469016263327833,0.45059398082602725,0.4998494762743898,5,6,8,23,38
81,5,0,0,2,8,17,1,6,1,7,3,7,9,16,18,23,0.3211341989268284,0.054506259848116606,0.029938759204541737,0.44313669819932167,0.4769270520035043,5,6,8,23,39
82,5,0,0,2,8,17,1,6,1,7,3,7,9,16,18,24,0.1406409081886863,0.12333657633450819,0.1949759681770026,0.2684972428686149,0.49441485234017385,5,6,8,23,40
83,5,0,0,2,8,17,1,6,1,7,3,7,9,16,18,25,0.004170191474744558,0.1397208052811857,0.18858351255411418,0.3338932696084622,0.3971619859272373,5,6,8,23,41
84,5,0,0,2,8,18,1,6,1,7,3,7,9,16,19,25,0.1657531778079851,0.44187289111611394,0.22070913352855207,0.31512116360455006,0.5518509432012175,5,6,8,23,42
85,5,0,0,2,8,19,1,6,1,7,3,7,9,16,20,25,0.3908156194824867,0.016882241228741074,0.4291810393537881,0.4185908138008892,0.44616220170757004,5,6,8,23,43
86,5,0,0,2,8,19,1,6,1,7,3,7,9,16,20,26,0.04752980911122132,0.25980622926762403,0.20619701598253629,0.290585079078407,0.35272901822547287,5,6,8,23,44
87,5,0,0,2,8,19,1,6,1,7,3,7,9,16,20,27,0.13285211079866313,0.010882605420592075,0.2526398613986664,0.18426572806095134,0.388035624672886,5,6,8,23,45
88,5,0,0,2,8,19,1,6,1,7,3,7,9,16,20,28,0.18059980112190074,0.0016997132287903762,0.522629119593113,0.35598980408843134,0.47675575998396075,5,6,8,23,46
89,3,0,0,2,8,19,1,6,1,7,3,8,9,16,20,28,0.08813930555087403,0.0257766223079886,0.05677133442413764,0.39685632316483155,0.43337950831134,5,6,9,23,46
90,5,0,0,2,8,19,1,6,1,7,3,8,9,16,20,29,0.02908611799986934,0.05074077072081869,0.5498371748256086,0.2956258925898655,0.4112485044695166,5,6,9,23,47
91,3,0,0,2,8,19,1,6,1,7,3,9,9,16,20,29,0.013441587658077923,0.033914122021262594,0.6200929938191171,0.36901468083280775,0.3823140273526057,5,6,10,23,47
92,3,0,0,3,8,19,1,6,1,7,4,9,9,16,20,29,0.22123069050540906,0.10573353799540534,0.22409700327640225,0.522983813006762,0.4414020095810591,5,6,11,23,47
93,4,0,0,3,9,19,1,6,1,7,4,9,10,16,20,29,0.11542259164382651,0.038126723010987074,0.2663047708780119,0.42054373730801753,0.3644333339207642,5,6,11,24,47
94,4,0,0,3,10,19,1,6,1,7,4,9,11,16,20,29,0.6405097338567942,0.044554392407727114,0.2435412630726439,0.42912703689864923,0.43169844250174844,5,6,11,25,47
95,1,0,0,3,10,19,1,7,1,7,4,9,11,16,20,29,0.07328990667739592,0.15738759441722341,0.14399069347876786,0.4616905242508152,0.3836746843273106,6,6,11,25,47
96,4,0,0,3,10,19,1,7,1,7,4,9,11,17,20,29,0.06073788575733917,0.01309127651800129,0.28294225186075855,0.40228876887500836,0.42256360798721543,6,6,11,26,47
97,5,0,0,3,10,20,1,7,1,7,4,9,11,17,21,29,0.11931944879284419,0.4727330810891331,0.4145511779991347,0.4490054418815749,0.41520310176105296,6,6,11,26,48
98,2,0,0,3,10,20,1,7,1,8,4,9,11,17,21,29,0.17066830257274235,0.0549336290411427,0.3277709139432164,0.3379840496615299,0.39999682597895353,6,7,11,26,48
99,5,0,0,3,10,21,1,7,1,8,4,9,11,17,22,29,0.09288263134849631,0.042619024410139844,0.24691194323435325,0.31273752519674036,0.35322335978674246,6,7,11,26,49
100,5,0,0,3,10,22,1,7,1,8,4,9,11,17,23,29,0.2134590190845208,0.0017702368648227992,0.1786340190043687,0.5720297983431768,0.5119082359372448,6,7,11,26,50
101,4,0,0,3,11,22,1,7,1,8,4,9,12,17,23,29,0.038703690410789145,0.21666216481936923,0.1857787508958849,0.3059422973719181,0.43415663692116235,6,7,11,27,50
102,5,0,0,3,11,22,1,7,1,8,4,9,12,17,23,30,0.07383127952601269,0.06879273849395888,0.30535158947875163,0.4323423147658845,0.4576956349267771,6,7,11,27,51
103,5,0,0,3,11,22,1,7,1,8,4,9,12,17,23,31,0.0426111897010425,0.09417350583303419,0.18106555516660924,0.4403958900379611,0.4628651864655043,6,7,11,27,52
104,5,0,0,3,11,22,1,7,1,8,4,9,12,17,23,32,0.0965961361650423,0.09531599909130277,0.6330030617657166,0.45391604757746074,0.4763935991424642,6,7,11,27,53
105,3,0,0,3,11,22,1,7,1,8,4,10,12,17,23,32,0.0369775384898499,0.13921568528249237,0.2772141328044077,0.33793540422644386,0.5047173559317735,6,7,12,27,53
106,5,0,0,3,11,23,1,7,1,8,4,10,12,17,24,32,0.06879279367325983,0.053161630812733486,0.3989966508140523,0.5030617311300224,0.44262488228719643,6,7,12,27,54
107,4,0,0,3,12,23,1,7,1,8,4,10,13,17,24,32,0.32078818063393943,0.07147535406591536,0.416182586858695,0.5209808600742887,0.4373617068257975,6,7,12,28,54
108,4,0,0,3,12,23,1,7,1,8,4,10,13,18,24,32,0.09955611627686627,0.12725817533820943,0.20233120244264316,0.364075566031942,0.4255077369456194,6,7,12,29,54
109,5,0,0,3,12,23,1,7,1,8,4,10,13,18,24,33,0.1852442121899204,0.0033323429657303692,0.24266326703895863,0.5396661167687246,0.4229376854400275,6,7,12,29,55
110,4,0,0,3,13,23,1,7,1,8,4,10,14,18,24,33,0.041668607040580036,0.10973713830327968,0.1308081872620378,0.5621679215340962,0.21666510536116573,6,7,12,30,55
111,4,0,0,3,14,23,1,7,1,8,4,10,15,18,24,33,0.05898376633214782,0.12554042212291164,0.15338271333957115,0.5512281226437916,0.45244167871203883,6,7,12,31,55
112,4,0,0,3,14,23,1,7,1,8,4,10,15,19,24,33,0.10635310225225086,0.15755597185752035,0.559440384456275,0.3471041351505236,0.39247003329458585,6,7,12,32,55
113,3,0,0,3,14,23,1,7,1,8,4,11,15,19,24,33,0.10131942831593825,0.007426055745457454,0.32547250586244225,0.5481563331037488,0.4317666492779667,6,7,13,32,55
114,4,0,0,3,15,23,1,7,1,8,4,11,16,19,24,33,0.029235674320177964,0.11683256873547462,0.32816143404394144,0.4068355363605725,0.38237970067329535,6,7,13,33,55
115,4,0,0,3,15,23,1,7,1,8,4,11,16,20,24,33,0.25821857609816645,0.3655678676001739,0.22195318174639492,0.43091386662327313,0.43179935658655116,6,7,13,34,55
116,5,0,0,3,15,24,1,7,1,8,4,11,16,20,25,33,0.3231538264707289,0.04214971861949847,0.1560920342036282,0.516664148896851,0.39595034601651213,6,7,13,34,56
117,4,0,0,3,15,24,1,7,1,8,4,11,16,21,25,33,0.18836323490792709,0.08326157315139751,0.0782051700261462,0.6571202936768401,0.3971309459184688,6,7,13,35,56
118,4,0,0,3,15,24,1,7,1,8,4,11,16,22,25,33,3.0283918332531663e-4,0.2154464804870965,0.1474191036451678,0.29612809531817846,0.4073424742368323,6,7,13,36,56
119,5,0,0,3,15,25,1,7,1,8,4,11,16,22,26,33,0.08999694618770292,0.3145499046824607,0.30930652624783783,0.5378466254223194,0.44709932495452365,6,7,13,36,57
120,4,0,0,3,15,25,1,7,1,8,4,11,16,23,26,33,0.1508111864675326,0.18108818548214228,0.20568972167866115,0.47171217204570864,0.45080764549251773,6,7,13,37,57
121,4,0,0,3,16,25,1,7,1,8,4,11,17,23,26,33,0.11897778124905675,0.1292295577041114,0.22335678732911102,0.46615685941276974,0.4420551565538054,6,7,13,38,57
122,4,0,0,3,16,25,1,7,1,8,4,11,17,24,26,33,0.07483888818928672,0.10107307477953406,0.35197541631159524,0.34066003690376445,0.4381892034679573,6,7,13,39,57
123,5,0,0,3,16,26,1,7,1,8,4,11,17,24,27,33,0.006513794447874073,0.007065954762305348,0.3988983709216854,0.35926107384675554,0.5491655733698941,6,7,13,39,58
124,5,0,0,3,16,27,1,7,1,8,4,11,17,24,28,33,0.02255299763319218,0.16646704542247606,0.2877754833562351,0.5328954518156,0.4717005668149758,6,7,13,39,59
125,4,0,0,3,17,27,1,7,1,8,4,11,18,24,28,33,0.24304603833209787,0.018191239375979575,0.14285179973280226,0.5310823248550043,0.4746378354848247,6,7,13,40,59
126,4,0,0,3,17,27,1,7,1,8,4,11,18,25,28,33,0.12995134634953306,8.698799857668045e-5,0.38125632704488743,0.5041039752658077,0.5223268676776744,6,7,13,41,59
127,5,0,0,3,17,27,1,7,1,8,4,11,18,25,28,34,0.032867880074945455,0.24941083331060687,0.3236523812183312,0.4139677036856882,0.6034301463883898,6,7,13,41,60
128,5,0,0,3,17,27,1,7,1,8,4,11,18,25,28,35,0.0047242239366539745,0.08239766316641757,0.232759349346853,0.5591852316227022,0.5390788906900897,6,7,13,41,61
129,4,0,0,3,18,27,1,7,1,8,4,11,19,25,28,35,0.3177771876952648,0.03527517782372667,0.2657013418300428,0.4753839408505115,0.48467278486182236,6,7,13,42,61
130,5,0,0,3,18,27,1,7,1,8,4,11,19,25,28,36,0.03799384898902244,0.03240230811291639,0.21922537567777786,0.4569377509304673,0.4183718590554887,6,7,13,42,62
131,4,0,0,3,19,27,1,7,1,8,4,11,20,25,28,36,0.14851499163125972,0.01467328480228146,0.40698538598227446,0.35597124160079163,0.4279468522501458,6,7,13,43,62
132,5,0,0,3,19,28,1,7,1,8,4,11,20,25,29,36,0.07785620890338107,0.1393867498166958,0.40174693803398365,0.39260269096007816,0.3541779433128405,6,7,13,43,63
133,3,0,0,3,19,28,1,7,1,8,4,12,20,25,29,36,0.0569425045008027,0.00862659252450014,0.16949637687986382,0.32507283075275634,0.5575062553704224,6,7,14,43,63
134,5,0,0,3,19,28,1,7,1,8,4,12,20,25,29,37,0.01576192085448681,0.2292490631872222,0.3231602500226801,0.5143720525902974,0.5307582110426181,6,7,14,43,64
135,5,0,0,3,19,29,1,7,1,8,4,12,20,25,30,37,0.21485709540986253,0.1577148473774608,0.30461521342206754,0.5140149576584333,0.400303410639059,6,7,14,43,65
136,4,0,0,3,19,29,1,7,1,8,4,12,20,26,30,37,0.0070635895806634335,0.45533741011335355,0.19154051737566677,0.3967487607056462,0.35099567550078736,6,7,14,44,65
137,2,0,0,3,19,29,1,7,1,9,4,12,20,26,30,37,0.057595401232317975,0.0459274803858047,0.20032557408672513,0.3515474214293679,0.4237421651484789,6,8,14,44,65
138,5,0,0,3,19,29,1,7,1,9,4,12,20,26,30,38,0.1615006554400647,0.0022705042783336686,0.35067356350027645,0.48869098884966866,0.41711228484260665,6,8,14,44,66
139,4,0,0,3,19,29,1,7,1,9,4,12,20,27,30,38,0.025078741289176306,0.06436194319399195,0.06103555265891774,0.3300252335150967,0.5179492477448541,6,8,14,45,66
140,5,0,0,3,19,29,1,7,1,9,4,12,20,27,30,39,0.012794483565514183,0.121176650976692,0.31935800388251667,0.3443598925143229,0.35761429000539047,6,8,14,45,67
141,5,0,0,3,19,30,1,7,1,9,4,12,20,27,31,39,0.1716011277755966,0.0948456800833451,0.3596123734612864,0.4477277261179309,0.4869124059781791,6,8,14,45,68
142,5,0,0,3,19,31,1,7,1,9,4,12,20,27,32,39,0.0839600604928712,0.07832297604515291,0.303409085187389,0.3964448415227867,0.3318918357924081,6,8,14,45,69
143,4,0,0,3,19,31,1,7,1,9,4,12,20,28,32,39,0.23914233177905764,0.24943421428984658,0.21548996112419014,0.5062794852838899,0.4524028399958295,6,8,14,46,69
144,4,0,0,3,20,31,1,7,1,9,4,12,21,28,32,39,0.07564507237292241,0.04251388857560647,0.3321064448354652,0.37028144779350264,0.39843842348475816,6,8,14,47,69
145,5,0,0,3,20,31,1,7,1,9,4,12,21,28,32,40,0.45083228233102834,0.011285348670875942,0.3203082800461938,0.3704935879843233,0.4784849871279142,6,8,14,47,70
146,5,0,0,3,20,32,1,7,1,9,4,12,21,28,33,40,0.10008934535615499,0.05655346559704896,0.2887064151755533,0.33280799661467136,0.506915956613347,6,8,14,47,71
147,5,0,0,3,20,32,1,7,1,9,4,12,21,28,33,41,0.043293685565513454,0.04515364281551485,0.2669108663514105,0.5064620853562304,0.4446790277395299,6,8,14,47,72
148,4,0,0,3,20,32,1,7,1,9,4,12,21,29,33,41,0.3462025019904507,0.011240882581171136,0.2744165263291434,0.46360693125570035,0.4954169555454912,6,8,14,48,72
149,5,0,0,3,20,32,1,7,1,9,4,12,21,29,33,42,0.08331972391738679,0.019067807568438323,0.2807612268149945,0.4001621281151444,0.4146815136556701,6,8,14,48,73
150,5,0,0,3,20,32,1,7,1,9,4,12,21,29,33,43,0.14068140490298905,0.09250328319325496,0.25021664097774005,0.3787787560786907,0.3079531598128521,6,8,14,48,74
151,4,0,0,3,21,32,1,7,1,9,4,12,22,29,33,43,0.25900767110664147,0.23480174807907536,0.18296675507679194,0.4038678119017729,0.4519085183129334,6,8,14,49,74
152,5,0,0,3,21,33,1,7,1,9,4,12,22,29,34,43,0.2066615786133255,0.02764177284754222,0.19330836232394283,0.3569045680828892,0.4729108416414293,6,8,14,49,75
153,5,0,0,3,21,34,1,7,1,9,4,12,22,29,35,43,0.2674178195909766,0.07194407846663506,0.1458083631663772,0.518653144549548,0.5209463196371819,6,8,14,49,76
154,5,0,0,3,21,34,1,7,1,9,4,12,22,29,35,44,0.13240095719154865,0.17593743620638314,0.3043344865498632,0.2610544048889314,0.42302754994958075,6,8,14,49,77
