iteration,choice,cr1,cr2,cr3,cr4,cr5,mu1,mu2,mu3,mu4,mu5,n1,n2,n3,n4,n5,p1,p2,p3,p4,p5
34,5,1,1,1,2,6,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.2857142857142857,18,13,18,14,21,0.09083129490289042,0.10705785965250267,0.09083129490289042,0.17778137326414942,0.5334981772775671
35,4,1,1,1,3,6,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.2,0.2857142857142857,18,13,18,15,21,0.08271378567614655,0.09749019726858804,0.08271378567614655,0.2512622951872008,0.4858199361919181
36,5,1,1,1,3,6,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.2,0.2727272727272727,18,13,18,15,22,0.08671916731667538,0.10221112066822571,0.08671916731667538,0.2634295702777203,0.46092097442070323
37,1,1,1,1,3,6,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2,0.2727272727272727,19,13,18,15,22,0.0849542942359544,0.10240863894405294,0.0868867481072741,0.26393863577062354,0.46181168294209496
38,5,1,1,1,3,6,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2,0.2608695652173913,19,13,18,15,23,0.08851796504411406,0.10670448626278482,0.09053148167407678,0.2750103587470847,0.4392357082719397
39,4,1,1,1,4,6,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.25,0.2608695652173913,19,13,18,16,23,0.07840432553267963,0.09451294178052301,0.08018778737844603,0.3578442092259339,0.38905073608241736
40,4,1,1,1,4,6,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.23529411764705882,0.2608695652173913,19,13,18,17,23,0.08152463719191669,0.0982743392822927,0.08337907671338325,0.33228788707934853,0.4045340597330587
41,4,1,1,1,5,6,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2777777777777778,0.2608695652173913,19,13,18,18,23,0.07224568422146241,0.08708897245562161,0.07388905555913894,0.40828539540322123,0.35849089236055587
42,5,1,1,1,5,7,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2777777777777778,0.2916666666666667,19,13,18,18,24,0.06592781359271152,0.07947305924094669,0.06742747243574808,0.37258091927342557,0.4145907354571681
43,5,1,1,1,5,7,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2777777777777778,0.28,19,13,18,18,25,0.06836050168496613,0.0824055569886328,0.06991549684223931,0.38632888263403586,0.3929895618501259
44,4,1,1,1,5,7,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2631578947368421,0.28,19,13,18,19,25,0.07129000989633992,0.08593694938498382,0.07291164252656307,0.3600307348279925,0.4098306633641207
45,4,1,1,1,5,7,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.25,0.28,19,13,18,20,25,0.07384940008566494,0.08902218089885601,0.0755292511205498,0.33705513051635844,0.42454403737857077
46,4,1,1,1,6,7,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2857142857142857,0.28,19,13,18,21,25,0.06673743236414942,0.0804490188106446,0.0682555075914692,0.4008991496613046,0.3836588915724322
47,5,1,1,1,6,8,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2857142857142857,0.3076923076923077,19,13,18,21,26,0.06116621981085932,0.07373316883529402,0.06255756676195272,0.3674322586516319,0.43511078594026203
48,5,1,1,1,6,9,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2857142857142857,0.3333333333333333,19,13,18,21,27,0.05586623225736536,0.06734426858422196,0.057137020482642624,0.3355946462631664,0.48405783241260364
49,5,1,1,1,6,10,0.05263157894736842,0.07692307692307693,0.05555555555555555,0.2857142857142857,0.35714285714285715,19,13,18,21,28,0.0509127714229881,0.06137309094483952,0.052070883359775035,0.30583865826610357,0.5298045960062937
50,3,1,1,1,6,10,0.05263157894736842,0.07692307692307693,0.05263157894736842,0.2857142857142857,0.35714285714285715,19,13,19,21,28,0.05097180247587496,0.06144425026451779,0.05097180247587496,0.3061932643405001,0.5304188804432323
51,5,1,1,1,6,10,0.05263157894736842,0.07692307692307693,0.05263157894736842,0.2857142857142857,0.3448275862068966,19,13,19,21,29,0.05353851555855097,0.0645383092019823,0.05353851555855097,0.3216117941792675,0.5067728655016484
52,1,1,1,1,6,10,0.05,0.07692307692307693,0.05263157894736842,0.2857142857142857,0.3448275862068966,20,13,19,21,29,0.05252198546556712,0.06460762542301461,0.053596017647218705,0.3219572155962147,0.5073171558679849
53,4,1,1,1,6,10,0.05,0.07692307692307693,0.05263157894736842,0.2727272727272727,0.3448275862068966,20,13,19,22,29,0.054180402937135115,0.06664765520955594,0.05528834841660453,0.3005475527634369,0.5233360406732676
54,4,1,1,1,7,10,0.05,0.07692307692307693,0.05263157894736842,0.30434782608695654,0.3448275862068966,20,13,19,23,29,0.050039102803296875,0.061553415807911266,0.051062362039887364,0.35401047212775394,0.48333464722115055
55,4,1,1,1,8,10,0.05,0.07692307692307693,0.05263157894736842,0.3333333333333333,0.3448275862068966,20,13,19,24,29,0.045973914211527155,0.0565528016939769,0.04691404362480002,0.4064908147396511,0.44406842573004485
56,5,1,1,1,8,11,0.05,0.07692307692307693,0.05263157894736842,0.3333333333333333,0.36666666666666664,20,13,19,24,30,0.042519909024846,0.05230400813957969,0.0433894068217928,0.3759512923489957,0.48583538366478585
57,4,1,1,1,8,11,0.05,0.07692307692307693,0.05263157894736842,0.32,0.36666666666666664,20,13,19,25,30,0.04413744126341562,0.0542937447432667,0.04504001628818774,0.3522113802416256,0.5043174174635042
58,5,1,1,1,8,12,0.05,0.07692307692307693,0.05263157894736842,0.32,0.3870967741935484,20,13,19,25,31,0.04064883541289555,0.05000238869415653,0.041480071265712466,0.32437273245056886,0.5434959721766667
59,5,1,1,1,8,13,0.05,0.07692307692307693,0.05263157894736842,0.32,0.40625,20,13,19,25,32,0.037420421867812664,0.046031096840232905,0.03818563927116765,0.2986103874175118,0.5797524546032751
60,3,1,1,1,8,13,0.05,0.07692307692307693,0.05,0.32,0.40625,20,13,20,25,32,0.03744907855446215,0.04606634761113394,0.03744907855446215,0.2988390642702937,0.580196431009648
61,5,1,1,1,8,14,0.05,0.07692307692307693,0.05,0.32,0.42424242424242425,20,13,20,25,33,0.03447957563508611,0.04241354335008079,0.03447957563508611,0.27514279434782574,0.6134845110319213
62,5,1,1,1,8,15,0.05,0.07692307692307693,0.05,0.32,0.4411764705882353,20,13,20,25,34,0.03176810261320207,0.039078143292568854,0.03176810261320207,0.25350557143256597,0.643880080048461
63,5,1,1,1,8,16,0.05,0.07692307692307693,0.05,0.32,0.45714285714285713,20,13,20,25,35,0.029302539466781102,0.036045238523095,0.029302539466781102,0.23383067923183465,0.6715190033115082
64,4,1,1,1,9,16,0.05,0.07692307692307693,0.05,0.34615384615384615,0.45714285714285713,20,13,20,26,35,0.02785124063720611,0.03425998668375789,0.02785124063720611,0.2717775827671975,0.6382599492746325
65,5,1,1,1,9,16,0.05,0.07692307692307693,0.05,0.34615384615384615,0.4444444444444444,20,13,20,26,36,0.02960998856287093,0.03642343359437307,0.02960998856287093,0.2889397719192121,0.6154168173606729
66,5,1,1,1,9,17,0.05,0.07692307692307693,0.05,0.34615384615384615,0.4594594594594595,20,13,20,26,37,0.027535252984817068,0.03387128828054857,0.027535252984817068,0.2686941165234765,0.6423640892263408
67,5,1,1,1,9,17,0.05,0.07692307692307693,0.05,0.34615384615384615,0.4473684210526316,20,13,20,26,38,0.029201204528328438,0.0359205857764827,0.029201204528328438,0.2849507813306433,0.6207262238362172
68,5,1,1,1,9,18,0.05,0.07692307692307693,0.05,0.34615384615384615,0.46153846153846156,20,13,20,26,39,0.027253034787794304,0.03352412989727003,0.027253034787794304,0.2659401789018504,0.646029621625291
69,5,1,1,1,9,18,0.05,0.07692307692307693,0.05,0.34615384615384615,0.45,20,13,20,26,40,0.028835189379314546,0.035470348234298746,0.028835189379314546,0.28137913747639126,0.6254801355306808
70,5,1,1,1,9,18,0.05,0.07692307692307693,0.05,0.34615384615384615,0.43902439024390244,20,13,20,26,41,0.030373296109128613,0.037362383018962275,0.030373296109128613,0.29638826882935493,0.6055027559334256
71,4,1,1,1,10,18,0.05,0.07692307692307693,0.05,0.37037037037037035,0.43902439024390244,20,13,20,27,41,0.028635448846576247,0.035224646145800786,0.028635448846576247,0.336646320392851,0.5708581357681957
72,5,1,1,1,10,18,0.05,0.07692307692307693,0.05,0.37037037037037035,0.42857142857142855,20,13,20,27,42,0.02995666669370543,0.03684988454859281,0.02995666669370543,0.35217892576797444,0.5510578562960219
73,5,1,1,1,10,19,0.05,0.07692307692307693,0.05,0.37037037037037035,0.4418604651162791,20,13,20,27,43,0.02827939268867071,0.03478665922136131,0.02827939268867071,0.3324604249297021,0.5761941304715952
74,4,1,1,1,10,19,0.05,0.07692307692307693,0.05,0.35714285714285715,0.4418604651162791,20,13,20,28,43,0.029219193034856893,0.035942713551764004,0.029219193034856893,0.31027628785679473,0.5953426125217275
75,4,1,1,1,10,19,0.05,0.07692307692307693,0.05,0.3448275862068966,0.4418604651162791,20,13,20,29,43,0.03006226033053348,0.03697977594692376,0.03006226033053348,0.29037554987039965,0.6125201535216096
76,2,1,1,1,10,19,0.05,0.07142857142857142,0.05,0.3448275862068966,0.4418604651162791,20,14,20,29,43,0.03010833803369169,0.03550371394987556,0.03010833803369169,0.2908206208079878,0.6134589891747533
77,5,1,1,1,10,19,0.05,0.07142857142857142,0.05,0.3448275862068966,0.4318181818181818,20,14,20,29,44,0.031547026618413625,0.0372002137008004,0.031547026618413625,0.3047171137625309,0.5949886192998415
78,4,1,1,1,10,19,0.05,0.07142857142857142,0.05,0.3333333333333333,0.4318181818181818,20,14,20,30,44,0.03238201412067242,0.03818482990242348,0.03238201412067242,0.2863143486599761,0.6107367931962556
79,4,1,1,1,11,19,0.05,0.07142857142857142,0.05,0.3548387096774194,0.4318181818181818,20,14,20,31,44,0.03079582303895847,0.03631439539448094,0.03079582303895847,0.3212733172739781,0.580820641253624
80,5,1,1,1,11,20,0.05,0.07142857142857142,0.05,0.3548387096774194,0.4444444444444444,20,14,20,31,45,0.02907343504529216,0.034283357661033166,0.02907343504529216,0.3033047342080858,0.6042650380402966
81,5,1,1,1,11,21,0.05,0.07142857142857142,0.05,0.3548387096774194,0.45652173913043476,20,14,20,31,46,0.02745813061380684,0.032378592728035324,0.02745813061380684,0.28645328612520327,0.6262518599191478
82,5,1,1,1,11,21,0.05,0.07142857142857142,0.05,0.3548387096774194,0.44680851063829785,20,14,20,31,47,0.0287545710562903,0.03390735365039099,0.0287545710562903,0.2999782281628911,0.6086052760741374
83,5,1,1,1,11,21,0.05,0.07142857142857142,0.05,0.3548387096774194,0.4375,20,14,20,31,48,0.030016930455827692,0.03539592625021234,0.030016930455827692,0.31314762426470355,0.5914225885734287
84,5,1,1,1,11,22,0.05,0.07142857142857142,0.05,0.3548387096774194,0.4489795918367347,20,14,20,31,49,0.028462842968427753,0.03356334825989,0.028462842968427753,0.29693481378779785,0.6125761520154567
85,4,1,1,1,11,22,0.05,0.07142857142857142,0.05,0.34375,0.4489795918367347,20,14,20,32,49,0.029171050137937277,0.03439846525423823,0.029171050137937277,0.27944127647459494,0.6278181579952924
86,5,1,1,1,11,23,0.05,0.07142857142857142,0.05,0.34375,0.46,20,14,20,32,50,0.027636070523471758,0.03258841924339929,0.027636070523471758,0.26473708650541417,0.647402353204243
87,4,1,1,1,11,23,0.05,0.07142857142857142,0.05,0.3333333333333333,0.46,20,14,20,33,50,0.02821116308419156,0.0332665676602149,0.02821116308419156,0.249436639527441,0.6608744666439609
88,5,1,1,1,11,23,0.05,0.07142857142857142,0.05,0.3333333333333333,0.45098039215686275,20,14,20,33,51,0.029518787034480094,0.034808516160763144,0.029518787034480094,0.2609983508596598,0.6451555589106168
89,4,1,1,1,11,23,0.05,0.07142857142857142,0.05,0.3235294117647059,0.45098039215686275,20,14,20,34,51,0.03008925662342065,0.03548121317513119,0.03008925662342065,0.24671666758727312,0.6576236059907544
90,2,1,2,1,11,23,0.05,0.13333333333333333,0.05,0.3235294117647059,0.45098039215686275,20,15,20,34,51,0.02945188705222839,0.055912257160675584,0.02945188705222839,0.2414905598573904,0.6436934088774772
91,5,1,2,1,11,23,0.05,0.13333333333333333,0.05,0.3235294117647059,0.4423076923076923,20,15,20,34,52,0.030728396083942143,0.05833561635401135,0.030728396083942143,0.2519572875134115,0.6282503039646928
92,5,1,2,1,11,23,0.05,0.13333333333333333,0.05,0.3235294117647059,0.4339622641509434,20,15,20,34,53,0.031977555638692146,0.06070705456223348,0.031977555638692146,0.2621997633076735,0.6131380708527088
93,5,1,2,1,11,23,0.05,0.13333333333333333,0.05,0.3235294117647059,0.42592592592592593,20,15,20,34,54,0.03319774509412562,0.06302349515213379,0.03319774509412562,0.2722046989575411,0.5983763157020738
94,4,1,2,1,12,23,0.05,0.13333333333333333,0.05,0.34285714285714286,0.42592592592592593,20,15,20,35,54,0.031809781496061035,0.06038854760235456,0.031809781496061035,0.30263307238547416,0.5733588170200491
95,4,1,2,1,12,23,0.05,0.13333333333333333,0.05,0.3333333333333333,0.42592592592592593,20,15,20,36,54,0.032504675334338706,0.06170775281715965,0.032504675334338706,0.28739889100394,0.5858840055102229
96,4,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.35135135135135137,0.42592592592592593,20,15,20,37,54,0.031172784740850792,0.05917925577243984,0.031172784740850792,0.31659797403487405,0.5618772007109846
97,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.35135135135135137,0.41818181818181815,20,15,20,37,55,0.03221972029386307,0.06116678647860041,0.03221972029386307,0.3272308923892746,0.5471628805443989
98,4,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.41818181818181815,20,15,20,38,55,0.0329601875480047,0.0625725094959136,0.0329601875480047,0.31176944551014957,0.5597376698979274
99,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.4107142857142857,20,15,20,38,56,0.03402330441436444,0.06459075924399757,0.03402330441436444,0.3218254367102824,0.5455371952169912
100,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.40350877192982454,20,15,20,38,57,0.03505442285370073,0.06654826231471925,0.03505442285370073,0.3315787557294464,0.5317641362484329
101,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.39655172413793105,20,15,20,38,58,0.0360534529424435,0.06844484799474655,0.0360534529424435,0.34102855198323445,0.518419694137132
102,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.3898305084745763,20,15,20,38,59,0.037020504891172416,0.07028072551081807,0.037020504891172416,0.35017586795028144,0.5055023967565557
103,5,1,2,1,13,23,0.05,0.13333333333333333,0.05,0.34210526315789475,0.38333333333333336,20,15,20,38,60,0.03795585847507433,0.07205642599569842,0.03795585847507433,0.3590233500158585,0.4930085070382944
104,4,1,2,1,14,23,0.05,0.13333333333333333,0.05,0.358974358974359,0.38333333333333336,20,15,20,39,60,0.03615720234181438,0.06864180865426571,0.03615720234181438,0.38939801756625786,0.4696457690958477
105,4,1,2,1,14,23,0.05,0.13333333333333333,0.05,0.35,0.38333333333333336,20,15,20,40,60,0.037121417980916,0.07047230164360087,0.037121417980916,0.3731148998857674,0.48216996250879973
106,3,1,2,1,14,23,0.05,0.13333333333333333,0.047619047619047616,0.35,0.38333333333333336,20,15,21,40,60,0.037146443215952916,0.07051981022511923,0.03647229776574996,0.3733664335979283,0.4824950151952495
107,2,1,3,1,14,23,0.05,0.1875,0.047619047619047616,0.35,0.38333333333333336,20,16,21,40,60,0.03584002194666126,0.1032091496121444,0.03518958584460831,0.3602353284943737,0.4655259141022123
108,5,1,3,1,14,23,0.05,0.1875,0.047619047619047616,0.35,0.3770491803278688,20,16,21,40,61,0.036645044367454076,0.10552738701703182,0.03597999846281158,0.3683267720942471,0.45352079805845535
109,5,1,3,1,14,24,0.05,0.1875,0.047619047619047616,0.35,0.3870967741935484,20,16,21,40,62,0.035356565719602,0.10181693210335657,0.034714903534716554,0.355376011917321,0.47273558672500393
110,3,1,3,1,14,24,0.05,0.1875,0.045454545454545456,0.35,0.3870967741935484,20,16,22,40,62,0.03537684437883973,0.10187532891958381,0.03416126697132103,0.3555798368335779,0.47300672289667756
111,5,1,3,1,14,24,0.05,0.1875,0.045454545454545456,0.35,0.38095238095238093,20,16,22,40,63,0.03616659065875313,0.10414957534946945,0.03492387692089207,0.36351773684366195,0.4612422202272235
112,2,1,4,1,14,24,0.05,0.23529411764705882,0.045454545454545456,0.35,0.38095238095238093,20,17,22,40,63,0.03456693626074392,0.14377319056031612,0.03337918796087487,0.3474392860993538,0.44084139911871134
113,5,1,4,1,14,25,0.05,0.23529411764705882,0.045454545454545456,0.35,0.390625,20,17,22,40,64,0.03342863121711691,0.13903867354328403,0.03227999601278233,0.3359979512718237,0.45925474795499305
114,4,1,4,1,15,25,0.05,0.23529411764705882,0.045454545454545456,0.36585365853658536,0.390625,20,17,22,41,64,0.03203269149604872,0.13323258456814463,0.030932021926212708,0.3637258839134601,0.4400768180961339
115,5,1,4,1,15,25,0.05,0.23529411764705882,0.045454545454545456,0.36585365853658536,0.38461538461538464,20,17,22,41,65,0.03268244218314143,0.13593507253663045,0.03155944664643026,0.3711036948918266,0.42871934374197135
116,2,1,4,1,15,25,0.05,0.2222222222222222,0.045454545454545456,0.36585365853658536,0.38461538461538464,20,18,22,41,65,0.033113042107603956,0.12455078581743383,0.03197525080408412,0.3759930854120556,0.43436783585882244
117,5,1,4,1,15,26,0.05,0.2222222222222222,0.045454545454545456,0.36585365853658536,0.3939393939393939,20,18,22,41,66,0.03207699789524032,0.12065382822676103,0.030974805921164722,0.3642289757067606,0.45206539225007325
118,1,1,4,1,15,26,0.047619047619047616,0.2222222222222222,0.045454545454545456,0.36585365853658536,0.3939393939393939,21,18,22,41,66,0.03151319955465618,0.12072410698652959,0.03099284820773121,0.3644411327602139,0.4523287124908692
119,5,1,4,1,15,26,0.047619047619047616,0.2222222222222222,0.045454545454545456,0.36585365853658536,0.3880597014925373,21,18,22,41,67,0.032156403464561015,0.12318816073958724,0.03162543142454247,0.3718796018726554,0.4411504024986539
120,4,1,4,1,15,26,0.047619047619047616,0.2222222222222222,0.045454545454545456,0.35714285714285715,0.3880597014925373,21,18,22,42,67,0.03295056907275388,0.12623053457669045,0.03240648363423108,0.35636693365567323,0.45204547906065135
121,5,1,4,1,15,27,0.047619047619047616,0.2222222222222222,0.045454545454545456,0.35714285714285715,0.39705882352941174,21,18,22,42,68,0.03191644662149589,0.12226890861654904,0.031389436789956884,0.3451826944346266,0.4692425135373715
122,4,1,4,1,15,27,0.047619047619047616,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.39705882352941174,21,18,22,43,68,0.03261319002823631,0.1249380671522161,0.032074675450264635,0.33088788130323876,0.4794861860660442
123,1,1,4,1,15,27,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.39705882352941174,22,18,22,43,68,0.0320919574371802,0.12500538437402645,0.0320919574371802,0.33106616525950416,0.47974453549210894
124,5,1,4,1,15,28,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.4057971014492754,22,18,22,43,69,0.031056060018446928,0.12097033119117538,0.031056060018446928,0.32037966890933395,0.49653787986259684
125,5,1,4,1,15,29,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.4142857142857143,22,18,22,43,70,0.030049276721121364,0.11704868405232793,0.030049276721121364,0.3099935188545936,0.5128592436508358
126,5,1,4,1,15,30,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.4225352112676056,22,18,22,43,71,0.02907245233208911,0.11324373359220326,0.02907245233208911,0.2999164300624279,0.5286949316811906
127,5,1,4,1,15,31,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.4305555555555556,22,18,22,43,72,0.028126148000443607,0.10955766561259464,0.028126148000443607,0.2901541914436214,0.5440358469428966
128,5,1,4,1,15,32,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.4383561643835616,22,18,22,43,73,0.027210672056993675,0.10599168113127569,0.027210672056993675,0.2807099837919511,0.5588769909627858
129,5,1,4,1,15,32,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3488372093023256,0.43243243243243246,22,18,22,43,74,0.027905374652239422,0.10869770381980505,0.027905374652239422,0.2878766555243951,0.5476148913513209
130,4,1,4,1,15,32,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3409090909090909,0.43243243243243246,22,18,22,44,74,0.02838888527944609,0.11058108634395335,0.02838888527944609,0.2755378423306336,0.5571033007665208
131,5,1,4,1,15,33,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3409090909090909,0.44,22,18,22,44,75,0.02747153843113012,0.1070078142678417,0.02747153843113012,0.26663422499005446,0.5714148838798436
132,5,1,4,1,15,34,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3409090909090909,0.4473684210526316,22,18,22,44,76,0.026585616524401574,0.10355694939950966,0.026585616524401574,0.2580356129540208,0.5852362045976665
133,5,1,4,1,15,35,0.045454545454545456,0.2222222222222222,0.045454545454545456,0.3409090909090909,0.45454545454545453,22,18,22,44,77,0.02573088268737969,0.10022756906976324,0.02573088268737969,0.24973970718309194,0.5985709583723854
